id,year,category,full_name,laureate_type,prize_share,prize,motivation,laureate_id,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
269,2006,Economics,Edmund S. Phelps,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 2006,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",807.0,1933-07-26,"Evanston, IL",United States of America,Male,Columbia University,"New York, NY",United States of America,N/A,N/A,N/A
270,2007,Economics,Leonid Hurwicz,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2007,"""for having laid the foundations of mechanism design theory""",820.0,1917-08-21,Moscow,Russia,Male,University of Minnesota,"Minneapolis, MN",United States of America,2008-06-24,"Minneapolis, MN",United States of America
271,2007,Economics,Eric S. Maskin,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2007,"""for having laid the foundations of mechanism design theory""",821.0,1950-12-12,"New York, NY",United States of America,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,N/A,N/A,N/A
272,2007,Economics,Roger B. Myerson,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2007,"""for having laid the foundations of mechanism design theory""",822.0,1951-03-29,"Boston, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,N/A,N/A,N/A
273,2008,Economics,Paul Krugman,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 2008,"""for his analysis of trade patterns and location of economic activity""",834.0,1953-02-28,"New York, NY",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,N/A,N/A,N/A
274,2009,Economics,Elinor Ostrom,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2009,"""for her analysis of economic governance, especially the commons""",846.0,1933-08-07,"Los Angeles, CA",United States of America,Female,Indiana University,"Bloomington, IN",United States of America,2012-06-12,"Bloomington, IN",United States of America
275,2009,Economics,Elinor Ostrom,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2009,"""for her analysis of economic governance, especially the commons""",846.0,1933-08-07,"Los Angeles, CA",United States of America,Female,Arizona State University,"Tempe, AZ",United States of America,2012-06-12,"Bloomington, IN",United States of America
276,2009,Economics,Oliver E. Williamson,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2009,"""for his analysis of economic governance, especially the boundaries of the firm""",847.0,1932-09-27,"Superior, WI",United States of America,Male,University of California,"Berkeley, CA",United States of America,N/A,N/A,N/A
277,2010,Economics,Peter A. Diamond,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",856.0,1940-04-29,"New York, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,N/A,N/A,N/A
278,2010,Economics,Dale T. Mortensen,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",857.0,1939-02-02,"Enterprise, OR",United States of America,Male,Northwestern University,"Evanston, IL",United States of America,2014-01-09,"Wilmette, IL",United States of America
279,2010,Economics,Dale T. Mortensen,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",857.0,1939-02-02,"Enterprise, OR",United States of America,Male,Aarhus University,Aarhus,Denmark,2014-01-09,"Wilmette, IL",United States of America
280,2010,Economics,Christopher A. Pissarides,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",858.0,1948-02-20,Nicosia,Cyprus,Male,London School of Economics and Political Science,London,United Kingdom,N/A,N/A,N/A
281,2011,Economics,Thomas J. Sargent,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2011,"""for their empirical research on cause and effect in the macroeconomy""",872.0,1943-07-19,"Pasadena, CA",United States of America,Male,New York University,"New York, NY",United States of America,N/A,N/A,N/A
282,2011,Economics,Christopher A. Sims,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2011,"""for their empirical research on cause and effect in the macroeconomy""",873.0,1942-10-21,"Washington, DC",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,N/A,N/A,N/A
283,2012,Economics,Alvin E. Roth,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2012,"""for the theory of stable allocations and the practice of market design""",882.0,1951-12-18,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,N/A,N/A,N/A
284,2012,Economics,Alvin E. Roth,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2012,"""for the theory of stable allocations and the practice of market design""",882.0,1951-12-18,"New York, NY",United States of America,Male,Harvard Business School,"Boston, MA",United States of America,N/A,N/A,N/A
285,2012,Economics,Lloyd S. Shapley,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2012,"""for the theory of stable allocations and the practice of market design""",883.0,1923-06-02,"Cambridge, MA",United States of America,Male,University of California,"Los Angeles, CA",United States of America,2016-03-12,"Tucson, AZ",United States of America
286,2013,Economics,Eugene F. Fama,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2013,"""for their empirical analysis of asset prices""",894.0,1939-02-14,"Boston, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,N/A,N/A,N/A
287,2013,Economics,Lars Peter Hansen,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2013,"""for their empirical analysis of asset prices""",895.0,1952-10-26,"Urbana, IL",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,N/A,N/A,N/A
288,2013,Economics,Robert J. Shiller,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2013,"""for their empirical analysis of asset prices""",896.0,1946-03-29,"Detroit, MI",United States of America,Male,Yale University,"New Haven, CT",United States of America,N/A,N/A,N/A
289,2014,Economics,Jean Tirole,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 2014,"""for his analysis of market power and regulation""",915.0,1953-08-09,Troyes,France,Male,Toulouse School of Economics (TSE),Toulouse,France,N/A,N/A,N/A
290,2015,Economics,Angus Deaton,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 2015,"""for his analysis of consumption, poverty, and welfare""",926.0,1945-10-19,Edinburgh,United Kingdom,Male,Princeton University,"Princeton, NJ",United States of America,N/A,N/A,N/A
291,2016,Economics,Oliver Hart,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2016,"""for their contributions to contract theory""",935.0,1948-10-09,London,United Kingdom,Male,Harvard University,"Cambridge, MA",United States of America,N/A,N/A,N/A
292,2016,Economics,Bengt Holmström,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2016,"""for their contributions to contract theory""",936.0,1949-04-18,Helsinki,Finland,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,N/A,N/A,N/A
293,2017,Economics,Richard Thaler,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,2018,Economics,William Nordhaus,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
295,2018,Economics,Paul Romer,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
296,2019,Economics,Abhijit Banerjee,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
297,2019,Economics,Esther Duflo,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
298,2019,Economics,Michael Kremer,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
299,2020,Economics,Paul R. Milgrom,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
300,2020,Economics,Robert B. Wilson,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301,2021,Economics,David Card,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
302,2021,Economics,Joshua D. Angrist,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,2021,Economics,Guido W. Imbens,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304,2022,Economics,Ben S. Bernanke,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
305,2022,Economics,Douglas W. Diamond,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
306,2022,Economics,Philip H. Dybvig,Individual,N/A,The Sveriges Riksbank Prize in Economic Sciences 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
307,1901,Literature,Sully Prudhomme,Individual,1/1,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",569.0,1839-03-16,Paris,France,Male,N/A,N/A,N/A,1907-09-07,Châtenay,France
308,1902,Literature,Christian Matthias Theodor Mommsen,Individual,1/1,The Nobel Prize in Literature 1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",571.0,1817-11-30,Garding,Schleswig (Germany),Male,N/A,N/A,N/A,1903-11-01,Charlottenburg,Germany
309,1903,Literature,Bjørnstjerne Martinus Bjørnson,Individual,1/1,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",572.0,1832-12-08,Kvikne,Norway,Male,N/A,N/A,N/A,1910-04-26,Paris,France
310,1904,Literature,Frédéric Mistral,Individual,1/2,The Nobel Prize in Literature 1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",573.0,1830-09-08,Maillane,France,Male,N/A,N/A,N/A,1914-03-25,Maillane,France
311,1904,Literature,José Echegaray y Eizaguirre,Individual,1/2,The Nobel Prize in Literature 1904,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",574.0,1832-04-19,Madrid,Spain,Male,N/A,N/A,N/A,1916-09-04,Madrid,Spain
312,1905,Literature,Henryk Sienkiewicz,Individual,1/1,The Nobel Prize in Literature 1905,"""because of his outstanding merits as an epic writer""",575.0,1846-05-05,Wola Okrzejska,Poland,Male,N/A,N/A,N/A,1916-11-15,Vevey,Switzerland
313,1906,Literature,Giosuè Carducci,Individual,1/1,The Nobel Prize in Literature 1906,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",576.0,1835-07-27,Val di Castello,Tuscany (Italy),Male,N/A,N/A,N/A,1907-02-16,Bologna,Italy
314,1907,Literature,Rudyard Kipling,Individual,1/1,The Nobel Prize in Literature 1907,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",577.0,1865-12-30,Bombay,British India (India),Male,N/A,N/A,N/A,1936-01-18,London,United Kingdom
315,1908,Literature,Rudolf Christoph Eucken,Individual,1/1,The Nobel Prize in Literature 1908,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",578.0,1846-01-05,Aurich,East Friesland (Germany),Male,N/A,N/A,N/A,1926-09-14,Jena,Germany
316,1909,Literature,Selma Ottilia Lovisa Lagerlöf,Individual,1/1,The Nobel Prize in Literature 1909,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",579.0,1858-11-20,Mårbacka,Sweden,Female,N/A,N/A,N/A,1940-03-16,Mårbacka,Sweden
317,1910,Literature,Paul Johann Ludwig Heyse,Individual,1/1,The Nobel Prize in Literature 1910,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",580.0,1830-03-15,Berlin,Prussia (Germany),Male,N/A,N/A,N/A,1914-04-02,Munich,Germany
318,1911,Literature,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,Individual,1/1,The Nobel Prize in Literature 1911,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",581.0,1862-08-29,Ghent,Belgium,Male,N/A,N/A,N/A,1949-05-06,Nice,France
319,1912,Literature,Gerhart Johann Robert Hauptmann,Individual,1/1,The Nobel Prize in Literature 1912,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",582.0,1862-11-15,Bad Salzbrunn,Prussia (Germany),Male,N/A,N/A,N/A,1946-06-06,Agnetendorf (Jagniatków),Germany (Poland)
320,1913,Literature,Rabindranath Tagore,Individual,1/1,The Nobel Prize in Literature 1913,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",583.0,1861-05-07,Calcutta,India,Male,N/A,N/A,N/A,1941-08-07,Calcutta,India
