Year,Category,Full Name,Motivation,Laureate Type,Prize Share,Prize,Laureate ID,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1965,Physics,Julian Schwinger,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Individual,1/3,The Nobel Prize in Physics 1965,85.0,1918-02-12,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1994-07-16,"Los Angeles, CA",United States of America
1965,Physics,Richard P. Feynman,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Individual,1/3,The Nobel Prize in Physics 1965,86.0,1918-05-11,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1988-02-15,"Los Angeles, CA",United States of America
1966,Physics,Alfred Kastler,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",Individual,1/1,The Nobel Prize in Physics 1966,87.0,1902-05-03,Guebwiller,Germany (France),Male,École Normale Supérieure,Paris,France,1984-01-07,Bandol,France
1967,Physics,Hans Albrecht Bethe,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",Individual,1/1,The Nobel Prize in Physics 1967,88.0,1906-07-02,Strassburg (Strasbourg),Germany (France),Male,Cornell University,"Ithaca, NY",United States of America,2005-03-06,"Ithaca, NY",United States of America
1968,Physics,Luis Walter Alvarez,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",Individual,1/1,The Nobel Prize in Physics 1968,89.0,1911-06-13,"San Francisco, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,1988-09-01,"Berkeley, CA",United States of America
1969,Physics,Murray Gell-Mann,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",Individual,1/1,The Nobel Prize in Physics 1969,90.0,1929-09-15,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,,,
1970,Physics,Hannes Olof Gösta Alfvén,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",Individual,1/2,The Nobel Prize in Physics 1970,91.0,1908-05-30,Norrköping,Sweden,Male,Royal Institute of Technology,Stockholm,Sweden,1995-04-02,Djursholm,Sweden
1970,Physics,Louis Eugène Félix Néel,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",Individual,1/2,The Nobel Prize in Physics 1970,92.0,1904-11-22,Lyon,France,Male,University of Grenoble,Grenoble,France,2000-11-17,Brive-Corrèze,France
1971,Physics,Dennis Gabor,"""for his invention and development of the holographic method""",Individual,1/1,The Nobel Prize in Physics 1971,93.0,1900-06-05,Budapest,Hungary,Male,Imperial College,London,United Kingdom,1979-02-08,London,United Kingdom
1972,Physics,John Bardeen,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",Individual,1/3,The Nobel Prize in Physics 1972,66.0,1908-05-23,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America,1991-01-30,"Boston, MA",United States of America
1972,Physics,Leon Neil Cooper,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",Individual,1/3,The Nobel Prize in Physics 1972,95.0,1930-02-28,"New York, NY",United States of America,Male,Brown University,"Providence, RI",United States of America,,,
1972,Physics,John Robert Schrieffer,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",Individual,1/3,The Nobel Prize in Physics 1972,96.0,1931-05-31,"Oak Park, IL",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America,,,
1973,Physics,Leo Esaki,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",Individual,1/4,The Nobel Prize in Physics 1973,97.0,1925-03-12,Osaka,Japan,Male,IBM Thomas J. Watson Research Center,"Yorktown Heights, NY",United States of America,,,
1973,Physics,Ivar Giaever,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",Individual,1/4,The Nobel Prize in Physics 1973,98.0,1929-04-05,Bergen,Norway,Male,General Electric Company,"Schenectady, NY",United States of America,,,
1973,Physics,Brian David Josephson,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""",Individual,1/2,The Nobel Prize in Physics 1973,99.0,1940-01-04,Cardiff,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,,,
1974,Physics,Sir Martin Ryle,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",Individual,1/2,The Nobel Prize in Physics 1974,100.0,1918-09-27,Brighton,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1984-10-14,Cambridge,United Kingdom
1974,Physics,Antony Hewish,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",Individual,1/2,The Nobel Prize in Physics 1974,101.0,1924-05-11,Fowey,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,,,
1975,Physics,Aage Niels Bohr,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Individual,1/3,The Nobel Prize in Physics 1975,102.0,1922-06-19,Copenhagen,Denmark,Male,Niels Bohr Institute,Copenhagen,Denmark,2009-09-08,Copenhagen,Denmark
1975,Physics,Ben Roy Mottelson,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Individual,1/3,The Nobel Prize in Physics 1975,103.0,1926-07-09,"Chicago, IL",United States of America,Male,Nordita,Copenhagen,Denmark,,,
1975,Physics,Leo James Rainwater,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Individual,1/3,The Nobel Prize in Physics 1975,104.0,1917-12-09,"Council, ID",United States of America,Male,Columbia University,"New York, NY",United States of America,1986-03-31,"Yonkers, NY",United States of America
1976,Physics,Burton Richter,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",Individual,1/2,The Nobel Prize in Physics 1976,105.0,1931-03-22,"Brooklyn, NY",United States of America,Male,Stanford Linear Accelerator Center,"Stanford, CA",United States of America,,,
1976,Physics,Samuel Chao Chung Ting,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",Individual,1/2,The Nobel Prize in Physics 1976,106.0,1936-01-27,"Ann Arbor, MI",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,
1977,Physics,Philip Warren Anderson,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",Individual,1/3,The Nobel Prize in Physics 1977,107.0,1923-12-13,"Indianapolis, IN",United States of America,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,,,
1977,Physics,Sir Nevill Francis Mott,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",Individual,1/3,The Nobel Prize in Physics 1977,108.0,1905-09-30,Leeds,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1996-08-08,Milton Keynes,United Kingdom
1977,Physics,John Hasbrouck van Vleck,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",Individual,1/3,The Nobel Prize in Physics 1977,109.0,1899-03-13,"Middletown, CT",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1980-10-27,"Cambridge, MA",United States of America
1978,Physics,Pyotr Leonidovich Kapitsa,"""for his basic inventions and discoveries in the area of low-temperature physics""",Individual,1/2,The Nobel Prize in Physics 1978,110.0,1894-07-09,Kronshtadt,Russian Empire (Russia),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,1984-04-08,Moscow,Union of Soviet Socialist Republics (Russia)
1978,Physics,Arno Allan Penzias,"""for their discovery of cosmic microwave background radiation""",Individual,1/4,The Nobel Prize in Physics 1978,111.0,1933-04-26,Munich,Germany,Male,Bell Laboratories,"Holmdel, NJ",United States of America,,,
1978,Physics,Robert Woodrow Wilson,"""for their discovery of cosmic microwave background radiation""",Individual,1/4,The Nobel Prize in Physics 1978,112.0,1936-01-10,"Houston, TX",United States of America,Male,Bell Laboratories,"Holmdel, NJ",United States of America,,,
1979,Physics,Sheldon Lee Glashow,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",Individual,1/3,The Nobel Prize in Physics 1979,113.0,1932-12-05,"New York, NY",United States of America,Male,"Harvard University, Lyman Laboratory","Cambridge, MA",United States of America,,,
1979,Physics,Abdus Salam,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",Individual,1/3,The Nobel Prize in Physics 1979,114.0,1926-01-29,Jhang Maghi&#257;na,India (Pakistan),Male,International Centre for Theoretical Physics,Trieste,Italy,1996-11-21,Oxford,United Kingdom
1979,Physics,Abdus Salam,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",Individual,1/3,The Nobel Prize in Physics 1979,114.0,1926-01-29,Jhang Maghi&#257;na,India (Pakistan),Male,Imperial College,London,United Kingdom,1996-11-21,Oxford,United Kingdom
1979,Physics,Steven Weinberg,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",Individual,1/3,The Nobel Prize in Physics 1979,115.0,1933-05-03,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,
1980,Physics,James Watson Cronin,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",Individual,1/2,The Nobel Prize in Physics 1980,116.0,1931-09-29,"Chicago, IL",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,2016-08-25,"St. Paul, MN",United States of America
1980,Physics,Val Logsdon Fitch,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",Individual,1/2,The Nobel Prize in Physics 1980,117.0,1923-03-10,"Merriman, NE",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,2015-02-05,"Princeton, NJ",United States of America
1981,Physics,Nicolaas Bloembergen,"""for their contribution to the development of laser spectroscopy""",Individual,1/4,The Nobel Prize in Physics 1981,118.0,1920-03-11,Dordrecht,Netherlands,Male,Harvard University,"Cambridge, MA",United States of America,,,
1981,Physics,Arthur Leonard Schawlow,"""for their contribution to the development of laser spectroscopy""",Individual,1/4,The Nobel Prize in Physics 1981,119.0,1921-05-05,"Mount Verno, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,1999-04-28,"Palo Alto, CA",United States of America
1981,Physics,Kai M. Siegbahn,"""for his contribution to the development of high-resolution electron spectroscopy""",Individual,1/2,The Nobel Prize in Physics 1981,120.0,1918-04-20,Lund,Sweden,Male,Uppsala University,Uppsala,Sweden,2007-07-20,Ängelholm,Sweden
1982,Physics,Kenneth G. Wilson,"""for his theory for critical phenomena in connection with phase transitions""",Individual,1/1,The Nobel Prize in Physics 1982,121.0,1936-06-08,"Waltham, MA",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,2013-06-15,"Saco, ME",United States of America
1983,Physics,Subramanyan Chandrasekhar,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",Individual,1/2,The Nobel Prize in Physics 1983,122.0,1910-10-19,Lahore,India (Pakistan),Male,University of Chicago,"Chicago, IL",United States of America,1995-08-21,"Chicago, IL",United States of America
1983,Physics,William Alfred Fowler,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",Individual,1/2,The Nobel Prize in Physics 1983,123.0,1911-08-09,"Pittsburgh, PA",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1995-03-14,"Pasadena, CA",United States of America
